timestamp,measured,ideal,offset,temperature,operating_hours,vibration,calibration_age,pressure_cycles,anomaly_type,severity,days_to_failure,health_score
1/1/2025 0:00,24.81968355,25,-0.18031645,24.68555848,0,0.110136029,0,51,normal,info,200,96.39
1/1/2025 1:00,26.39279698,26.29409523,0.098701754,26.04262774,1,0.440467931,0,96,normal,info,204,98.03
1/1/2025 2:00,27.57551594,27.5,0.075515936,26.98818863,2,0.798952512,0,11,normal,info,205,98.49
1/1/2025 3:00,28.86264569,28.53553391,0.073883558,28.2760517,3,0.042841024,0,19,trend_deviation,critical,205,98.52
1/1/2025 4:00,29.16747422,29.33012702,-0.162652797,29.79883016,4,0.623862542,0,99,normal,info,201,96.75
1/1/2025 5:00,29.56401177,29.82962913,-0.265617363,29.98127989,5,0.168636112,0,48,normal,info,197,94.69
1/1/2025 6:00,29.99609545,30,-0.003904552,29.90318632,6,0.442083017,0,57,normal,info,208,99.92
1/1/2025 7:00,29.96294216,29.82962913,0.13331303,30.3363248,7,0.668715573,0,77,normal,info,202,97.33
1/1/2025 8:00,29.57573241,29.33012702,0.245605391,29.15235368,8,0.236643548,0,87,normal,info,198,95.09
1/1/2025 9:00,28.70683665,28.53553391,0.171302739,28.52760095,9,0.901038498,0,21,normal,info,201,96.57
1/1/2025 10:00,27.34157568,27.5,-0.158424324,27.51611548,10,0.997175684,0,1,normal,info,201,96.83
1/1/2025 11:00,26.06489631,26.29409523,-0.229198915,26.17905284,11,0.738571039,0,16,normal,info,198,95.42
1/1/2025 12:00,25.38794075,25,0.387940753,25.71241233,12,0.757096084,0,96,normal,info,192,92.24
1/1/2025 13:00,23.68023472,23.70590477,-0.025670059,23.50376565,13,0.341985805,0,86,normal,info,207,99.49
1/1/2025 14:00,22.18583274,22.5,-0.314167255,22.77553006,14,0.32765503,0,86,normal,info,195,93.72
1/1/2025 15:00,21.37647074,21.46446609,-0.087995354,21.22969616,15,0.149916628,0,58,normal,info,204,98.24
1/1/2025 16:00,20.72640486,20.66987298,0.056531879,20.53036897,16,0.112497958,0,1,normal,info,205,98.87
1/1/2025 17:00,20.17145895,20.17037087,0.001088077,20.57854992,17,0.216502676,0,15,normal,info,208,99.98
1/1/2025 18:00,20.19564939,20,0.195649391,19.62017412,18,0.70937793,0,45,normal,info,200,96.09
1/1/2025 19:00,20.25362255,20.17037087,0.083251678,19.64175079,19,0.890793052,0,74,normal,info,204,98.33
1/1/2025 20:00,20.72706662,20.66987298,0.057193644,21.41469062,20,0.425449117,0,83,normal,info,205,98.86
1/1/2025 21:00,21.58209304,21.46446609,0.117626945,21.13784183,21,0.709806089,0,15,normal,info,203,97.65
1/1/2025 22:00,22.71679003,22.5,0.216790033,22.87150485,22,0.919894181,0,55,normal,info,199,95.66
1/1/2025 23:00,23.60109744,23.70590477,-0.104807331,23.23831589,23,0.561344448,0,74,normal,info,203,97.9
1/2/2025 0:00,25.16248239,25,0.011391513,24.40115032,24,0.690917822,1,4,trend_deviation,critical,207,99.77
1/2/2025 1:00,26.15789207,26.29409523,-0.136203158,25.68386235,25,0.599595662,1,70,normal,info,202,97.28
1/2/2025 2:00,27.28214696,27.5,-0.217853044,27.56244364,26,0.067065629,1,86,normal,info,199,95.64
1/2/2025 3:00,28.21311554,28.53553391,-0.322418366,28.62355886,27,0.042352651,1,34,normal,info,194,93.55
1/2/2025 4:00,29.691742,29.33012702,0.361614977,28.59058237,28,0.947247877,1,12,normal,info,193,92.77
1/2/2025 5:00,30.31092179,29.82962913,0.481292657,30.64638606,29,0.884457476,1,56,normal,info,188,90.37
1/2/2025 6:00,30.17249429,30,0.172494285,30.51565803,30,0.458413832,1,26,normal,info,201,96.55
1/2/2025 7:00,29.75476246,29.82962913,-0.074866669,29.7418923,31,0.062267642,1,38,normal,info,205,98.5
1/2/2025 8:00,29.26929091,29.33012702,-0.060836109,29.00781595,32,0.695828515,1,46,normal,info,205,98.78
1/2/2025 9:00,28.73223209,28.53553391,0.196698183,29.14785155,33,0.615979174,1,71,normal,info,200,96.07
1/2/2025 10:00,27.41610903,27.5,-0.083890968,28.04688282,34,0.049846874,1,9,normal,info,204,98.32
1/2/2025 11:00,25.90361229,26.29409523,-0.39048294,26.31754808,35,0.977435665,1,68,normal,info,192,92.19
1/2/2025 12:00,24.93959152,25,-0.060408479,25.54602771,36,0.804695785,1,80,normal,info,205,98.79
1/2/2025 13:00,23.95215296,23.70590477,0.24624819,23.08975218,37,0.116063651,1,82,normal,info,198,95.08
1/2/2025 14:00,22.29635571,22.5,-0.203644289,22.87524802,38,0.190239884,1,10,normal,info,199,95.93
1/2/2025 15:00,21.38172996,21.46446609,-0.082736134,21.7095136,39,0.885060876,1,62,normal,info,204,98.35
1/2/2025 16:00,20.93988395,20.66987298,0.270010972,21.00550281,40,0.366810095,1,59,normal,info,197,94.6
1/2/2025 17:00,20.32962338,20.17037087,0.15925251,19.44690612,41,0.607646383,1,85,normal,info,201,96.81
1/2/2025 18:00,19.96395287,20,-0.036047134,19.47656075,42,0.131042209,1,2,normal,info,206,99.28
1/2/2025 19:00,20.39761154,20.17037087,0.227240675,19.17464951,43,0.888160832,1,76,normal,info,198,95.46
1/2/2025 20:00,20.32087699,20.66987298,-0.348995991,20.66118898,44,0.193728786,1,76,normal,info,193,93.02
1/2/2025 21:00,21.40600995,21.46446609,-0.058456144,22.15553509,45,0.371880505,1,33,normal,info,205,98.83
1/2/2025 22:00,22.41290333,22.5,-0.087096673,22.54101496,46,0.797099307,1,26,normal,info,204,98.26
1/2/2025 23:00,23.94015708,23.70590477,0.234252306,24.17060847,47,0.636144808,1,98,normal,info,198,95.31
1/3/2025 0:00,24.88708091,25,-0.112919089,25.38658227,48,0.87837742,2,82,normal,info,203,97.74
1/3/2025 1:00,26.18689385,26.29409523,-0.107201375,26.79799201,49,0.366392667,2,63,normal,info,203,97.86
1/3/2025 2:00,27.59184532,27.5,0.091845318,26.8725985,50,0.615014858,2,59,normal,info,204,98.16
1/3/2025 3:00,28.44981572,28.53553391,-0.085718188,28.76500231,51,0.180193387,2,95,normal,info,204,98.29
1/3/2025 4:00,29.48515457,29.33012702,0.155027556,29.08698207,52,0.858335814,2,29,normal,info,201,96.9
1/3/2025 5:00,29.9677463,29.82962913,0.194443547,30.28553593,53,0.93773747,2,23,trend_deviation,critical,200,96.11
1/3/2025 6:00,29.79535526,30,-0.204644739,29.84851271,54,0.292226855,2,37,normal,info,199,95.91
1/3/2025 7:00,29.6912716,29.82962913,-0.138357531,30.22910755,55,0.632278767,2,36,normal,info,202,97.23
1/3/2025 8:00,29.46696998,29.33012702,0.136842965,30.70451823,56,0.839393971,2,89,normal,info,202,97.26
1/3/2025 9:00,28.66395875,28.53553391,0.128424843,28.98392512,57,0.586958435,2,50,normal,info,202,97.43
1/3/2025 10:00,7.172572754,27.5,-0.327427246,27.29160417,58,0.404725311,2,55,out_of_range,critical,194,93.45
1/3/2025 11:00,26.09673648,26.29409523,-0.197358745,26.44720307,59,0.607000001,2,13,normal,info,200,96.05
1/3/2025 12:00,14.88565749,25,-0.11434251,24.2175626,60,0.8063913,2,0,spike,warning,203,97.71
1/3/2025 13:00,23.97880444,23.70590477,0.272899666,23.77870796,61,0.681318304,2,10,normal,info,196,94.54
1/3/2025 14:00,22.74566699,22.5,0.245666985,22.5196546,62,0.325951544,2,36,normal,info,198,95.09
1/3/2025 15:00,21.68864339,21.46446609,0.224177299,20.92591262,63,0.023705243,2,30,normal,info,198,95.52
1/3/2025 16:00,20.88256718,20.66987298,0.2126942,20.01940627,64,0.040128789,2,29,normal,info,199,95.75
1/3/2025 17:00,20.68623738,20.17037087,0.515866513,20.15792519,65,0.916830576,2,17,normal,info,186,89.68
1/3/2025 18:00,19.90697681,20,-0.093023192,19.52250732,66,0.949132153,2,14,normal,info,204,98.14
1/3/2025 19:00,20.27910153,20.17037087,0.108730659,20.18780196,67,0.500779491,2,61,normal,info,203,97.83
1/3/2025 20:00,20.68341076,20.66987298,0.013537777,21.6120901,68,0.19096979,2,31,normal,info,207,99.73
1/3/2025 21:00,21.27911626,21.46446609,-0.185349832,21.12862796,69,0.886613143,2,18,normal,info,200,96.29
1/3/2025 22:00,22.34091721,22.5,-0.159082788,23.12783876,70,0.801347144,2,0,normal,info,201,96.82
1/3/2025 23:00,23.72206288,23.70590477,0.016158106,24.2832216,71,0.204739816,2,55,normal,info,207,99.68
1/4/2025 0:00,24.87839879,25,-0.121601213,24.13932302,72,0.062977908,3,71,normal,info,203,97.57
1/4/2025 1:00,26.23130353,26.29409523,-0.062791696,26.1381376,73,0.004119817,3,63,normal,info,205,98.74
1/4/2025 2:00,27.30004747,27.5,-0.199952529,27.07572287,74,0.601809809,3,71,normal,info,200,96
1/4/2025 3:00,48.56546192,28.53553391,0.029928018,28.65655193,75,0.401255535,3,67,out_of_range,critical,207,99.4
1/4/2025 4:00,29.49834287,29.33012702,0.168215847,29.2924126,76,0.781610049,3,19,normal,info,201,96.64
1/4/2025 5:00,29.8190451,29.82962913,-0.010584036,29.83964401,77,0.002521762,3,98,normal,info,207,99.79
1/4/2025 6:00,30.37580112,30,0.375801117,29.41609391,78,0.272155015,3,57,normal,info,192,92.48
1/4/2025 7:00,29.46314439,29.82962913,-0.366484744,30.87294194,79,0.856296309,3,80,normal,info,193,92.67
1/4/2025 8:00,29.13853478,29.33012702,-0.191592241,29.21874732,80,0.947969566,3,26,normal,info,200,96.17
1/4/2025 9:00,8.291826557,28.53553391,-0.243707349,27.87633321,81,0.920333562,3,11,out_of_range,critical,198,95.13
1/4/2025 10:00,27.74586074,27.5,0.24586074,27.28953322,82,0.036609716,3,15,normal,info,198,95.08
1/4/2025 11:00,26.26667785,26.29409523,-0.027417375,27.10073618,83,0.211092472,3,71,normal,info,207,99.45
1/4/2025 12:00,24.95340156,25,-0.04659844,25.2958025,84,0.558449201,3,15,normal,info,206,99.07
1/4/2025 13:00,23.61766698,23.70590477,-0.088237793,24.30159436,85,0.244779465,3,99,normal,info,204,98.24
1/4/2025 14:00,22.99370789,22.5,0.493707894,22.51278391,86,0.208285586,3,45,normal,info,187,90.13
1/4/2025 15:00,21.08974729,21.46446609,-0.374718806,20.63069556,87,0.444803333,3,81,normal,info,192,92.51
1/4/2025 16:00,21.46446609,20.66987298,0.216879402,21.78047468,88,0.926641968,3,5,stuck_value,warning,199,95.66
1/4/2025 17:00,20.116719,20.17037087,-0.053651864,20.11541223,89,0.864801369,3,52,normal,info,206,98.93
1/4/2025 18:00,19.88591944,20,-0.114080563,20.6018022,90,0.386715327,3,63,normal,info,203,97.72
1/4/2025 19:00,20.35055386,20.17037087,0.180182993,20.00181738,91,0.053149592,3,18,normal,info,200,96.4
1/4/2025 20:00,20.59491117,20.66987298,-0.074961807,20.17959982,92,0.670513599,3,35,normal,info,205,98.5
1/4/2025 21:00,21.35594372,21.46446609,-0.108522374,21.68841636,93,0.774130381,3,16,normal,info,203,97.83
1/4/2025 22:00,22.84553697,22.5,0.345536972,23.07072729,94,0.625022999,3,9,normal,info,193,93.09
1/4/2025 23:00,24.08660527,23.70590477,0.380700493,24.08079129,95,0.65707409,3,65,normal,info,192,92.39
1/5/2025 0:00,25.28374829,25,0.28374829,24.95048686,96,0.903455436,4,63,normal,info,196,94.33
1/5/2025 1:00,26.26602029,26.29409523,-0.028074932,26.27228199,97,0.135637202,4,32,normal,info,207,99.44
1/5/2025 2:00,27.76742879,27.5,0.267428794,27.27252427,98,0.665512583,4,48,normal,info,197,94.65
1/5/2025 3:00,23.45379015,28.53553391,0.473875075,28.24588125,99,0.845242104,4,33,noise,warning,188,90.52
1/5/2025 4:00,29.35394192,29.33012702,0.023814905,28.65924801,100,0.100531551,4,59,normal,info,207,99.52
1/5/2025 5:00,29.97649882,29.82962913,0.146869685,29.96859123,101,0.927129119,4,43,normal,info,202,97.06
1/5/2025 6:00,30.26497856,30,0.264978555,30.18710513,102,0.452507336,4,69,normal,info,197,94.7
1/5/2025 7:00,29.78017413,29.82962913,-0.049454998,28.96812102,103,0.488469482,4,31,normal,info,206,99.01
1/5/2025 8:00,29.28024059,29.33012702,-0.049886432,29.74812721,104,0.254577318,4,36,normal,info,206,99
1/5/2025 9:00,28.13437451,28.53553391,-0.401159392,29.49835824,105,0.306893182,4,79,normal,info,191,91.98
1/5/2025 10:00,27.7206104,27.5,0.220610403,27.74764191,106,0.975101735,4,18,normal,info,199,95.59
1/5/2025 11:00,26.55223617,26.29409523,0.258140947,25.91610758,107,0.132456791,4,62,normal,info,197,94.84
1/5/2025 12:00,25.13959239,25,0.139592394,25.31730596,108,0.532017819,4,35,normal,info,202,97.21
1/5/2025 13:00,23.49848991,23.70590477,-0.207414862,23.69305366,109,0.582009281,4,49,normal,info,199,95.85
1/5/2025 14:00,22.67942706,22.5,0.17942706,22.3769452,110,0.458653616,4,87,normal,info,200,96.41
1/5/2025 15:00,21.42178574,21.46446609,-0.042680353,21.55358597,111,0.96473756,4,80,normal,info,206,99.15
1/5/2025 16:00,21.07377008,20.66987298,0.403897103,20.85364418,112,0.247862797,4,20,normal,info,191,91.92
1/5/2025 17:00,20.19158289,20.17037087,0.021212017,20.8681528,113,0.683580833,4,77,normal,info,207,99.58
1/5/2025 18:00,19.98798945,20,-0.012010554,19.18425152,114,0.905509081,4,58,normal,info,207,99.76
1/5/2025 19:00,20.46217292,20.17037087,0.291802055,19.34965004,115,0.136974501,4,3,normal,info,196,94.16
